75.51.675.986 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.147 (> 0.100 thold), f_keep = 0.147
75.51.681.488 W srv         alloc:  - prompt state size 9769.500 MiB exceeds cache size limit 8192.000 MiB, skipping
75.51.682.471 I slot launch_slot_: id  0 | task 1661 | processing task, is_child = 0
75.57.900.842 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =   2048, progress = 0.02, t =   4.62 s / 442.84 tokens per second
76.04.323.574 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =   4096, progress = 0.04, t =  10.97 s / 373.33 tokens per second
76.11.003.159 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =   6144, progress = 0.06, t =  17.54 s / 350.24 tokens per second
76.17.774.260 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =   8192, progress = 0.07, t =  24.31 s / 336.92 tokens per second
76.25.080.257 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  10240, progress = 0.09, t =  31.43 s / 325.84 tokens per second
76.32.728.983 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  12288, progress = 0.11, t =  38.99 s / 315.17 tokens per second
76.40.826.346 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  14336, progress = 0.13, t =  47.07 s / 304.58 tokens per second
76.49.338.180 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  16384, progress = 0.15, t =  55.32 s / 296.17 tokens per second
76.58.063.079 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  18432, progress = 0.17, t =  64.05 s / 287.79 tokens per second
77.00.201.587 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  18907, progress = 0.17, t =  66.39 s / 284.80 tokens per second
77.09.411.198 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  20955, progress = 0.19, t =  75.27 s / 278.39 tokens per second
77.19.498.077 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  23003, progress = 0.21, t =  85.09 s / 270.35 tokens per second
77.29.840.569 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  25051, progress = 0.23, t =  95.26 s / 262.96 tokens per second
77.40.876.373 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  27099, progress = 0.25, t = 106.26 s / 255.03 tokens per second
77.52.089.676 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  29147, progress = 0.26, t = 117.23 s / 248.62 tokens per second
78.03.893.201 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  31195, progress = 0.28, t = 129.13 s / 241.58 tokens per second
78.15.731.099 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  33243, progress = 0.30, t = 140.73 s / 236.21 tokens per second
78.28.479.327 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  35291, progress = 0.32, t = 152.99 s / 230.68 tokens per second
78.41.263.388 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  37339, progress = 0.34, t = 166.22 s / 224.64 tokens per second
78.54.737.268 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  39387, progress = 0.36, t = 179.49 s / 219.44 tokens per second
79.08.353.463 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  41435, progress = 0.38, t = 192.97 s / 214.72 tokens per second
79.22.295.081 I slot print_timing: id  0 | task 1661 | prompt processing, n_tokens =  43483, progress = 0.39, t = 206.92 s / 210.15 tokens per second
