56.35.408.306 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.993 (> 0.100 thold), f_keep = 0.170
56.35.413.821 W srv         alloc:  - prompt state size 9774.471 MiB exceeds cache size limit 8192.000 MiB, skipping
56.35.414.703 I slot launch_slot_: id  0 | task 1375 | processing task, is_child = 0
56.40.936.896 I slot print_timing: id  0 | task 1375 | prompt eval time =    2769.38 ms /   516 tokens (    5.37 ms per token,   186.32 tokens per second)
56.40.936.898 I slot print_timing: id  0 | task 1375 |        eval time =    2752.57 ms /    49 tokens (   57.35 ms per token,    17.44 tokens per second)
56.40.936.898 I slot print_timing: id  0 | task 1375 |       total time =    5521.95 ms /   565 tokens
56.40.936.899 I slot print_timing: id  0 | task 1375 |    graphs reused =       1210
56.40.936.901 I slot print_timing: id  0 | task 1375 | draft acceptance = 0.94118 (   32 accepted /    34 generated), mean len =  2.88
56.40.937.310 I slot      release: id  0 | task 1375 | stop processing: n_tokens = 18904, truncated = 0
56.40.985.105 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.405 (> 0.100 thold), f_keep = 0.990
56.40.985.937 I slot launch_slot_: id  0 | task 1396 | processing task, is_child = 0
56.51.540.429 I slot print_timing: id  0 | task 1396 | prompt processing, n_tokens =   2535, progress = 0.45, t =   8.25 s / 307.40 tokens per second
57.00.442.491 I slot print_timing: id  0 | task 1396 | prompt processing, n_tokens =   4583, progress = 0.50, t =  17.05 s / 268.82 tokens per second
57.09.705.835 I slot print_timing: id  0 | task 1396 | prompt processing, n_tokens =   6631, progress = 0.54, t =  26.20 s / 253.05 tokens per second
57.19.320.254 I slot print_timing: id  0 | task 1396 | prompt processing, n_tokens =   8679, progress = 0.58, t =  35.72 s / 242.95 tokens per second
57.29.418.272 I slot print_timing: id  0 | task 1396 | prompt processing, n_tokens =  10727, progress = 0.63, t =  45.66 s / 234.92 tokens per second
57.39.818.794 I slot print_timing: id  0 | task 1396 | prompt processing, n_tokens =  12775, progress = 0.67, t =  56.00 s / 228.11 tokens per second
57.50.534.656 I slot print_timing: id  0 | task 1396 | prompt processing, n_tokens =  14823, progress = 0.72, t =  66.64 s / 222.44 tokens per second
58.01.955.882 I slot print_timing: id  0 | task 1396 | prompt processing, n_tokens =  16871, progress = 0.76, t =  77.83 s / 216.77 tokens per second
58.13.639.682 I slot print_timing: id  0 | task 1396 | prompt processing, n_tokens =  18919, progress = 0.81, t =  89.40 s / 211.62 tokens per second
58.25.611.340 I slot print_timing: id  0 | task 1396 | prompt processing, n_tokens =  20967, progress = 0.85, t = 101.40 s / 206.78 tokens per second
58.37.857.340 I slot print_timing: id  0 | task 1396 | prompt processing, n_tokens =  23015, progress = 0.89, t = 113.52 s / 202.75 tokens per second
