0.30.902.517 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.30.903.321 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.36.412.209 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.11, t =   4.05 s / 505.93 tokens per second
0.42.245.559 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.22, t =   9.79 s / 418.46 tokens per second
0.48.455.547 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.33, t =  15.91 s / 386.06 tokens per second
0.54.976.742 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.44, t =  22.32 s / 367.09 tokens per second
1.01.833.129 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.55, t =  29.11 s / 351.78 tokens per second
1.08.968.700 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.66, t =  36.15 s / 339.92 tokens per second
1.16.522.174 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.77, t =  43.53 s / 329.32 tokens per second
1.24.560.300 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.88, t =  51.48 s / 318.27 tokens per second
1.31.812.020 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18125, progress = 0.97, t =  59.73 s / 303.47 tokens per second
1.33.766.054 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18537, progress = 0.99, t =  60.94 s / 304.17 tokens per second
1.34.321.004 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18637, progress = 1.00, t =  62.93 s / 296.16 tokens per second
1.41.524.812 I slot print_timing: id  0 | task 0 | n_gen =    102, tg =  14.37 t/s, tg_3s =  14.51 t/s
1.44.700.819 I slot print_timing: id  0 | task 0 | n_gen =    150, tg =  14.60 t/s, tg_3s =  15.11 t/s
1.45.431.969 I slot print_timing: id  0 | task 0 | prompt eval time =   63592.40 ms / 18641 tokens (    3.41 ms per token,   293.13 tokens per second)
1.45.431.972 I slot print_timing: id  0 | task 0 |        eval time =   10935.93 ms /   160 tokens (   68.78 ms per token,    14.54 tokens per second)
1.45.431.973 I slot print_timing: id  0 | task 0 |       total time =   74528.33 ms / 18801 tokens
1.45.431.973 I slot print_timing: id  0 | task 0 |    graphs reused =         59
1.45.431.976 I slot print_timing: id  0 | task 0 | draft acceptance = 0.84167 (  101 accepted /   120 generated), mean len =  2.68
1.45.432.447 I slot      release: id  0 | task 0 | stop processing: n_tokens = 18802, truncated = 0
1.45.806.844 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.991 (> 0.100 thold), f_keep = 0.991
1.45.807.735 I slot launch_slot_: id  0 | task 73 | processing task, is_child = 0
1.51.674.467 I slot print_timing: id  0 | task 73 | prompt eval time =    1126.97 ms /   176 tokens (    6.40 ms per token,   156.17 tokens per second)
1.51.674.470 I slot print_timing: id  0 | task 73 |        eval time =    4739.50 ms /    73 tokens (   65.83 ms per token,    15.19 tokens per second)
1.51.674.470 I slot print_timing: id  0 | task 73 |       total time =    5866.47 ms /   249 tokens
1.51.674.471 I slot print_timing: id  0 | task 73 |    graphs reused =         84
1.51.674.473 I slot print_timing: id  0 | task 73 | draft acceptance = 0.90385 (   47 accepted /    52 generated), mean len =  2.81
1.51.674.893 I slot      release: id  0 | task 73 | stop processing: n_tokens = 18886, truncated = 0
1.51.721.740 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.598 (> 0.100 thold), f_keep = 0.996
1.51.722.629 I slot launch_slot_: id  0 | task 102 | processing task, is_child = 0
2.00.360.003 I slot print_timing: id  0 | task 102 | prompt processing, n_tokens =   2048, progress = 0.66, t =   6.28 s / 325.93 tokens per second
2.09.374.262 I slot print_timing: id  0 | task 102 | prompt processing, n_tokens =   4096, progress = 0.73, t =  15.20 s / 269.54 tokens per second
2.18.751.940 I slot print_timing: id  0 | task 102 | prompt processing, n_tokens =   6144, progress = 0.79, t =  24.48 s / 250.97 tokens per second
2.28.519.994 I slot print_timing: id  0 | task 102 | prompt processing, n_tokens =   8192, progress = 0.86, t =  34.15 s / 239.87 tokens per second
2.38.684.870 I slot print_timing: id  0 | task 102 | prompt processing, n_tokens =  10240, progress = 0.92, t =  44.21 s / 231.61 tokens per second
2.48.512.981 I slot print_timing: id  0 | task 102 | prompt processing, n_tokens =  12136, progress = 0.98, t =  54.64 s / 222.10 tokens per second
2.51.206.731 I slot print_timing: id  0 | task 102 | prompt processing, n_tokens =  12648, progress = 1.00, t =  56.87 s / 222.40 tokens per second
3.00.016.882 I slot print_timing: id  0 | task 102 | n_gen =    102, tg =  11.82 t/s, tg_3s =  11.93 t/s
3.03.068.136 I slot print_timing: id  0 | task 102 | n_gen =    142, tg =  12.16 t/s, tg_3s =  13.11 t/s
3.06.098.637 I slot print_timing: id  0 | task 102 | n_gen =    183, tg =  12.44 t/s, tg_3s =  13.53 t/s
