3.11.990.960 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.996 (> 0.100 thold), f_keep = 0.992
3.11.991.819 I slot launch_slot_: id  0 | task 217 | processing task, is_child = 0
3.21.254.235 I slot print_timing: id  0 | task 217 | n_gen =    100, tg =  12.40 t/s, tg_3s =  12.53 t/s
3.24.299.123 I slot print_timing: id  0 | task 217 | n_gen =    146, tg =  13.15 t/s, tg_3s =  15.11 t/s
3.27.333.232 I slot print_timing: id  0 | task 217 | n_gen =    192, tg =  13.58 t/s, tg_3s =  15.16 t/s
3.30.380.491 I slot print_timing: id  0 | task 217 | n_gen =    240, tg =  13.97 t/s, tg_3s =  15.75 t/s
3.33.432.286 I slot print_timing: id  0 | task 217 | n_gen =    286, tg =  14.14 t/s, tg_3s =  15.07 t/s
3.36.467.051 I slot print_timing: id  0 | task 217 | n_gen =    331, tg =  14.23 t/s, tg_3s =  14.83 t/s
3.39.510.686 I slot print_timing: id  0 | task 217 | n_gen =    379, tg =  14.41 t/s, tg_3s =  15.77 t/s
3.42.571.225 I slot print_timing: id  0 | task 217 | n_gen =    425, tg =  14.47 t/s, tg_3s =  15.03 t/s
3.44.476.563 I slot print_timing: id  0 | task 217 | prompt eval time =    1280.38 ms /   119 tokens (   10.76 ms per token,    92.94 tokens per second)
3.44.476.566 I slot print_timing: id  0 | task 217 |        eval time =   31204.10 ms /   452 tokens (   69.19 ms per token,    14.45 tokens per second)
3.44.476.566 I slot print_timing: id  0 | task 217 |       total time =   32484.48 ms /   571 tokens
3.44.476.567 I slot print_timing: id  0 | task 217 |    graphs reused =        349
3.44.476.569 I slot print_timing: id  0 | task 217 | draft acceptance = 0.87500 (  287 accepted /   328 generated), mean len =  2.75
3.44.477.193 I slot      release: id  0 | task 217 | stop processing: n_tokens = 32027, truncated = 0
