49.38.372.385 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.999
49.38.373.374 I slot launch_slot_: id  0 | task 561 | processing task, is_child = 0
49.50.322.659 I slot print_timing: id  0 | task 561 | prompt eval time =    2662.81 ms /    60 tokens (   44.38 ms per token,    22.53 tokens per second)
49.50.322.662 I slot print_timing: id  0 | task 561 |        eval time =    9286.22 ms /    75 tokens (  125.49 ms per token,     7.97 tokens per second)
49.50.322.662 I slot print_timing: id  0 | task 561 |       total time =   11949.03 ms /   135 tokens
49.50.322.663 I slot print_timing: id  0 | task 561 |    graphs reused =        401
49.50.322.665 I slot print_timing: id  0 | task 561 | draft acceptance = 0.83929 (   47 accepted /    56 generated), mean len =  2.68
49.50.324.445 I slot      release: id  0 | task 561 | stop processing: n_tokens = 156835, truncated = 0
49.50.448.657 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.104 (> 0.100 thold), f_keep = 0.121
49.50.457.265 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 6653.130 MiB)
49.50.479.640 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 10941.775 MiB)
50.02.482.530 I slot launch_slot_: id  0 | task 593 | processing task, is_child = 0
50.12.728.022 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =   2048, progress = 0.11, t =   7.56 s / 270.87 tokens per second
50.21.903.020 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =   4096, progress = 0.12, t =  16.86 s / 242.96 tokens per second
50.31.839.807 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =   6144, progress = 0.13, t =  26.63 s / 230.70 tokens per second
50.42.465.158 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =   8192, progress = 0.14, t =  37.10 s / 220.82 tokens per second
50.53.607.838 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =  10240, progress = 0.16, t =  48.09 s / 212.94 tokens per second
51.05.298.246 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =  12288, progress = 0.17, t =  59.62 s / 206.10 tokens per second
51.17.480.590 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =  14336, progress = 0.18, t =  71.69 s / 199.98 tokens per second
51.30.141.714 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =  16384, progress = 0.19, t =  84.20 s / 194.58 tokens per second
51.43.337.210 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =  18432, progress = 0.20, t =  97.23 s / 189.57 tokens per second
51.56.891.114 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =  20480, progress = 0.21, t = 110.70 s / 185.00 tokens per second
52.10.899.818 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =  22528, progress = 0.22, t = 124.58 s / 180.83 tokens per second
52.25.384.675 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =  24576, progress = 0.23, t = 138.94 s / 176.89 tokens per second
52.40.331.353 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =  26624, progress = 0.25, t = 153.76 s / 173.15 tokens per second
52.55.691.416 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =  28672, progress = 0.26, t = 169.00 s / 169.66 tokens per second
53.11.535.036 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =  30720, progress = 0.27, t = 184.72 s / 166.31 tokens per second
53.27.844.388 I slot print_timing: id  0 | task 593 | prompt processing, n_tokens =  32768, progress = 0.28, t = 200.89 s / 163.11 tokens per second
