7.19.019.109 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.999 (> 0.100 thold), f_keep = 0.998
7.19.019.976 I slot launch_slot_: id  0 | task 193 | processing task, is_child = 0
7.25.656.851 I slot print_timing: id  0 | task 193 | prompt eval time =    1445.00 ms /    61 tokens (   23.69 ms per token,    42.21 tokens per second)
7.25.656.853 I slot print_timing: id  0 | task 193 |        eval time =    5191.62 ms /    59 tokens (   89.51 ms per token,    11.17 tokens per second)
7.25.656.854 I slot print_timing: id  0 | task 193 |       total time =    6636.63 ms /   120 tokens
7.25.656.854 I slot print_timing: id  0 | task 193 |    graphs reused =        169
7.25.656.856 I slot print_timing: id  0 | task 193 | draft acceptance = 0.78261 (   36 accepted /    46 generated), mean len =  2.57
7.25.657.673 I slot      release: id  0 | task 193 | stop processing: n_tokens = 65227, truncated = 0
7.25.729.419 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.205 (> 0.100 thold), f_keep = 0.288
7.26.286.347 I slot launch_slot_: id  0 | task 220 | processing task, is_child = 0
7.35.426.339 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =   2048, progress = 0.22, t =   6.62 s / 309.15 tokens per second
7.45.141.331 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =   4096, progress = 0.24, t =  16.23 s / 252.39 tokens per second
7.55.277.052 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =   6144, progress = 0.27, t =  26.24 s / 234.15 tokens per second
8.05.844.921 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =   8192, progress = 0.29, t =  36.67 s / 223.37 tokens per second
8.16.823.906 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =  10240, progress = 0.31, t =  47.55 s / 215.37 tokens per second
8.28.250.610 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =  12288, progress = 0.33, t =  58.86 s / 208.77 tokens per second
8.40.111.820 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =  14336, progress = 0.36, t =  70.59 s / 203.09 tokens per second
8.52.361.651 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =  16384, progress = 0.38, t =  82.74 s / 198.02 tokens per second
9.05.047.411 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =  18432, progress = 0.40, t =  95.30 s / 193.42 tokens per second
9.18.137.476 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =  20480, progress = 0.42, t = 108.28 s / 189.13 tokens per second
9.31.630.089 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =  22528, progress = 0.44, t = 121.65 s / 185.18 tokens per second
9.45.569.805 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =  24576, progress = 0.47, t = 135.47 s / 181.41 tokens per second
9.59.900.585 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =  26624, progress = 0.49, t = 149.70 s / 177.85 tokens per second
10.14.666.286 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =  28672, progress = 0.51, t = 164.33 s / 174.48 tokens per second
10.29.849.883 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =  30720, progress = 0.53, t = 179.41 s / 171.23 tokens per second
10.45.460.333 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =  32768, progress = 0.56, t = 194.92 s / 168.11 tokens per second
11.01.510.036 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =  34816, progress = 0.58, t = 210.83 s / 165.14 tokens per second
11.17.967.039 I slot print_timing: id  0 | task 220 | prompt processing, n_tokens =  36864, progress = 0.60, t = 227.16 s / 162.28 tokens per second
