ts,wired_gb,free_gb,rss_gb
1788044129,39.62,5.88,37.46
1788044134,39.61,5.97,37.46
1788044139,39.61,6.00,37.46
1788044144,2.77,52.98,0
1788044149,6.16,49.71,1.12
1788044154,42.87,11.78,38.35
1788044159,42.65,11.58,38.35
1788044164,42.61,11.48,38.35
1788044169,42.72,11.57,38.35
1788044174,42.75,11.57,38.35
1788044179,42.77,11.24,38.42
1788044184,42.70,11.16,38.42
1788044189,42.73,10.91,38.59
1788044194,42.97,10.80,38.60
1788044199,42.87,10.84,38.61
1788044204,43.21,10.70,38.62
1788044209,42.92,10.76,38.62
1788044214,42.48,10.92,38.63
1788044219,42.75,10.88,38.63
1788044224,43.18,10.73,38.64
1788044229,43.30,10.05,38.64
1788044234,43.23,9.75,38.65
1788044239,43.36,9.69,38.65
1788044244,43.17,9.25,39.31
1788044249,43.16,9.46,39.31
1788044254,43.34,9.29,39.32
1788044259,43.26,9.16,39.39
1788044264,42.71,9.66,39.40
1788044269,42.89,9.65,39.41
1788044274,42.71,9.75,39.41
1788044279,42.89,9.67,39.42
1788044285,42.71,9.74,39.42
1788044290,42.89,9.70,39.43
1788044295,42.70,9.82,39.43
1788044300,42.89,9.75,39.43
1788044305,42.67,9.83,39.44
1788044310,42.89,9.76,39.44
1788044315,42.77,9.68,39.44
1788044320,42.88,9.44,39.72
1788044325,42.69,9.61,39.72
1788044330,42.87,9.50,39.72
1788044335,42.67,9.61,39.72
1788044340,42.86,9.51,39.72
1788044345,42.68,9.44,40.25
1788044350,42.86,9.35,40.25
1788044355,42.67,9.42,40.25
1788044360,42.86,9.33,40.25
1788044365,42.64,9.44,40.25
1788044370,42.86,9.33,40.25
1788044375,42.64,9.47,40.25
1788044380,42.86,9.40,40.52
1788044385,42.67,9.50,40.52
1788044390,42.93,9.34,40.52
1788044395,42.75,9.47,40.64
1788044400,42.82,9.41,40.64
1788044405,42.63,9.53,40.77
1788044410,42.86,9.45,40.77
1788044415,42.71,9.54,40.77
1788044420,42.90,9.45,40.77
1788044425,42.71,9.50,40.77
1788044430,42.90,9.42,40.78
1788044435,42.71,9.53,40.78
1788044440,42.92,9.39,40.78
1788044445,42.73,9.53,40.78
1788044450,42.91,9.44,40.78
1788044455,42.69,9.56,40.78
1788044460,42.91,9.41,40.78
1788044465,42.93,9.41,40.78
1788044470,42.88,9.43,40.78
1788044475,42.66,9.50,41.06
1788044480,42.84,9.39,41.06
1788044485,42.69,9.52,41.06
1788044490,42.84,9.38,41.06
1788044495,42.69,9.50,41.06
1788044500,42.89,9.38,41.06
1788044505,42.65,9.53,41.06
1788044510,42.86,9.40,41.06
1788044515,42.67,9.54,41.06
1788044520,42.86,9.43,41.06
1788044525,42.67,9.52,41.06
1788044530,42.82,9.43,41.06
1788044535,42.68,9.53,41.06
1788044540,42.86,9.42,41.06
1788044546,42.63,9.56,41.06
1788044551,42.86,9.42,41.06
1788044556,42.75,9.45,42.49
1788044561,42.91,9.41,44.26
1788044566,42.72,9.53,44.26
1788044571,42.90,9.42,44.26
1788044576,42.68,9.57,44.26
1788044581,42.86,9.43,44.26
1788044586,42.71,9.57,44.26
1788044591,42.97,9.41,44.26
1788044596,42.75,9.58,44.26
1788044601,42.86,9.49,44.26
1788044606,42.67,9.65,44.26
1788044611,42.86,9.53,44.26
1788044616,42.68,9.64,44.26
1788044621,42.85,9.53,44.26
1788044626,42.63,9.66,44.26
1788044631,42.85,9.53,44.26
1788044636,42.66,9.65,44.26
1788044641,42.85,9.54,44.26
1788044646,42.63,9.68,44.26
1788044651,42.82,9.55,44.26
1788044656,42.71,9.58,44.26
1788044661,42.86,9.49,44.26
1788044666,42.65,9.63,44.27
1788044671,42.87,9.50,44.27
1788044676,42.67,9.63,44.27
1788044681,42.87,9.49,44.27
1788044686,42.65,9.62,44.27
1788044691,42.87,9.51,44.27
1788044696,42.72,9.62,44.27
1788044701,42.97,9.39,44.27
1788044706,42.72,9.57,44.27
1788044711,42.91,9.47,44.27
1788044716,42.65,9.60,44.27
1788044721,42.87,9.48,44.27
1788044726,42.63,9.61,44.27
1788044731,42.94,9.39,44.27
1788044736,42.72,9.50,44.27
1788044741,42.94,9.37,44.27
1788044746,42.72,9.49,44.27
1788044751,42.90,9.42,44.27
1788044756,42.72,9.52,44.27
1788044762,42.93,9.39,44.27
1788044767,42.71,9.51,44.27
1788044772,42.91,9.43,44.28
1788044777,42.71,9.51,44.28
1788044782,42.94,9.38,44.28
1788044787,42.87,9.43,44.28
1788044792,42.88,9.42,44.29
1788044797,42.91,9.41,44.29
1788044802,42.85,9.40,44.30
1788044807,42.84,9.42,44.30
1788044812,42.89,9.45,44.30
1788044817,42.84,9.46,44.31
1788044822,42.91,9.40,44.31
1788044827,42.80,9.45,44.31
1788044832,43.03,9.30,44.31
1788044837,42.84,9.42,44.68
1788044842,42.88,9.42,44.68
1788044847,42.83,9.48,44.68
1788044852,42.87,9.44,44.68
1788044857,42.86,9.44,44.69
1788044862,42.92,9.39,44.69
1788044867,42.85,9.47,44.69
1788044872,42.92,9.42,44.70
1788044877,42.89,9.47,44.70
1788044882,43.00,9.39,44.70
1788044887,42.89,9.49,44.70
1788044892,42.92,9.51,44.70
1788044897,42.89,9.52,44.71
1788044902,42.93,9.50,44.71
1788044907,42.89,9.56,44.71
1788044912,42.91,9.52,44.71
1788044917,42.83,9.56,44.72
1788044922,42.89,9.53,44.72
1788044927,42.84,9.56,44.72
1788044932,42.88,9.53,44.72
1788044937,42.84,9.56,44.73
1788044942,42.89,9.52,44.73
1788044947,42.84,9.56,44.73
1788044952,42.91,9.51,44.74
1788044957,42.84,9.55,44.74
1788044962,42.89,9.54,44.74
1788044967,42.85,9.54,44.74
1788044972,42.89,9.53,44.74
1788044977,42.85,9.55,44.74
1788044983,42.89,9.51,44.75
1788044988,42.83,9.54,44.75
1788044993,42.91,9.50,44.75
1788044998,42.84,9.54,44.75
1788045003,42.99,9.38,44.75
1788045008,42.87,9.44,45.01
1788045013,42.89,9.39,45.27
1788045018,42.82,9.45,45.28
1788045023,42.85,9.40,45.79
1788045028,42.80,5.90,44.21
1788045033,42.84,5.36,44.75
1788045038,42.86,5.31,44.61
1788045043,42.67,5.45,44.61
1788045048,42.82,5.34,44.46
1788045053,42.67,5.46,44.46
1788045058,42.88,5.31,44.45
1788045063,42.67,5.47,44.45
1788045068,42.86,5.33,44.38
1788045073,42.67,5.47,44.38
1788045078,42.85,5.35,44.34
1788045083,42.67,5.12,43.68
1788045088,42.99,8.62,41.29
1788045093,42.66,8.85,41.29
1788045098,42.93,8.65,41.29
1788045103,43.02,8.51,41.29
1788045108,42.93,8.57,41.30
1788045113,42.95,8.49,41.30
1788045118,43.00,8.51,41.30
1788045123,42.71,8.72,41.30
1788045128,42.92,8.56,41.30
1788045133,42.71,8.77,41.30
1788045138,42.89,8.63,41.31
1788045143,42.71,8.75,41.31
1788045148,42.89,8.62,41.31
1788045153,42.95,8.56,41.31
1788045158,42.94,8.57,41.31
1788045163,42.67,8.75,41.31
1788045168,42.85,8.63,41.31
1788045173,42.67,8.76,41.31
1788045178,42.86,8.64,41.32
1788045183,42.64,8.72,41.32
1788045188,42.88,8.59,41.32
1788045193,42.68,8.75,41.32
1788045198,42.89,8.60,41.32
1788045203,42.67,8.77,41.32
1788045208,42.88,8.61,41.33
1788045213,42.68,8.75,41.33
1788045218,42.85,8.63,41.33
1788045224,42.68,8.75,41.33
1788045229,42.85,8.63,41.33
