5.42.099.599 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.790 (> 0.100 thold), f_keep = 0.408
5.42.377.406 I slot launch_slot_: id  0 | task 972 | processing task, is_child = 0
5.47.776.832 I slot print_timing: id  0 | task 972 | prompt processing, n_tokens =   2048, progress = 0.11, t =   3.96 s / 517.27 tokens per second
5.53.521.490 I slot print_timing: id  0 | task 972 | prompt processing, n_tokens =   4096, progress = 0.22, t =   9.60 s / 426.55 tokens per second
5.59.686.217 I slot print_timing: id  0 | task 972 | prompt processing, n_tokens =   6144, progress = 0.33, t =  15.66 s / 392.42 tokens per second
6.06.127.858 I slot print_timing: id  0 | task 972 | prompt processing, n_tokens =   8192, progress = 0.44, t =  22.04 s / 371.70 tokens per second
6.12.878.143 I slot print_timing: id  0 | task 972 | prompt processing, n_tokens =  10240, progress = 0.55, t =  28.69 s / 356.86 tokens per second
6.19.937.072 I slot print_timing: id  0 | task 972 | prompt processing, n_tokens =  12288, progress = 0.66, t =  35.66 s / 344.59 tokens per second
6.27.385.648 I slot print_timing: id  0 | task 972 | prompt processing, n_tokens =  14336, progress = 0.77, t =  43.01 s / 333.35 tokens per second
6.35.169.569 I slot print_timing: id  0 | task 972 | prompt processing, n_tokens =  16384, progress = 0.88, t =  50.70 s / 323.18 tokens per second
6.42.262.836 I slot print_timing: id  0 | task 972 | prompt processing, n_tokens =  18152, progress = 0.97, t =  58.71 s / 309.18 tokens per second
6.44.093.404 I slot print_timing: id  0 | task 972 | prompt processing, n_tokens =  18539, progress = 0.99, t =  59.92 s / 309.38 tokens per second
6.44.704.551 I slot print_timing: id  0 | task 972 | prompt processing, n_tokens =  18664, progress = 1.00, t =  61.78 s / 302.11 tokens per second
6.49.973.481 I slot print_timing: id  0 | task 972 | prompt eval time =   62486.50 ms / 18668 tokens (    3.35 ms per token,   298.75 tokens per second)
6.49.973.484 I slot print_timing: id  0 | task 972 |        eval time =    5109.31 ms /    92 tokens (   56.15 ms per token,    17.81 tokens per second)
6.49.973.484 I slot print_timing: id  0 | task 972 |       total time =   67595.82 ms / 18760 tokens
6.49.973.484 I slot print_timing: id  0 | task 972 |    graphs reused =        919
6.49.973.486 I slot print_timing: id  0 | task 972 | draft acceptance = 0.96774 (   60 accepted /    62 generated), mean len =  2.94
6.49.973.919 I slot      release: id  0 | task 972 | stop processing: n_tokens = 18759, truncated = 0
6.50.031.443 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.991 (> 0.100 thold), f_keep = 0.995
6.50.032.260 I slot launch_slot_: id  0 | task 1016 | processing task, is_child = 0
6.56.953.998 I slot print_timing: id  0 | task 1016 | n_gen =    102, tg =  17.35 t/s, tg_3s =  17.52 t/s
6.59.957.620 I slot print_timing: id  0 | task 1016 | n_gen =    152, tg =  17.11 t/s, tg_3s =  16.65 t/s
7.01.953.931 I slot print_timing: id  0 | task 1016 | prompt eval time =    1100.16 ms /   175 tokens (    6.29 ms per token,   159.07 tokens per second)
7.01.953.933 I slot print_timing: id  0 | task 1016 |        eval time =   10821.25 ms /   188 tokens (   57.87 ms per token,    17.28 tokens per second)
7.01.953.934 I slot print_timing: id  0 | task 1016 |       total time =   11921.41 ms /   363 tokens
7.01.953.934 I slot print_timing: id  0 | task 1016 |    graphs reused =        982
7.01.953.936 I slot print_timing: id  0 | task 1016 | draft acceptance = 0.93846 (  122 accepted /   130 generated), mean len =  2.88
7.01.954.368 I slot      release: id  0 | task 1016 | stop processing: n_tokens = 19026, truncated = 0
7.02.161.004 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.927 (> 0.100 thold), f_keep = 0.990
7.02.161.843 I slot launch_slot_: id  0 | task 1084 | processing task, is_child = 0
7.08.478.666 I slot print_timing: id  0 | task 1084 | prompt processing, n_tokens =   1489, progress = 1.00, t =   4.23 s / 351.96 tokens per second
