6.47.316.029 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.790 (> 0.100 thold), f_keep = 0.409
6.47.617.018 I slot launch_slot_: id  0 | task 1216 | processing task, is_child = 0
6.53.161.656 I slot print_timing: id  0 | task 1216 | prompt processing, n_tokens =   2048, progress = 0.11, t =   4.07 s / 503.18 tokens per second
6.59.056.384 I slot print_timing: id  0 | task 1216 | prompt processing, n_tokens =   4096, progress = 0.22, t =   9.87 s / 414.80 tokens per second
7.05.341.594 I slot print_timing: id  0 | task 1216 | prompt processing, n_tokens =   6144, progress = 0.33, t =  16.04 s / 383.01 tokens per second
7.11.925.437 I slot print_timing: id  0 | task 1216 | prompt processing, n_tokens =   8192, progress = 0.44, t =  22.54 s / 363.44 tokens per second
7.18.890.605 I slot print_timing: id  0 | task 1216 | prompt processing, n_tokens =  10240, progress = 0.55, t =  29.42 s / 348.02 tokens per second
7.26.224.829 I slot print_timing: id  0 | task 1216 | prompt processing, n_tokens =  12288, progress = 0.66, t =  36.64 s / 335.39 tokens per second
7.33.871.037 I slot print_timing: id  0 | task 1216 | prompt processing, n_tokens =  14336, progress = 0.77, t =  44.18 s / 324.50 tokens per second
7.41.866.520 I slot print_timing: id  0 | task 1216 | prompt processing, n_tokens =  16384, progress = 0.88, t =  52.09 s / 314.53 tokens per second
7.49.202.955 I slot print_timing: id  0 | task 1216 | prompt processing, n_tokens =  18152, progress = 0.97, t =  60.39 s / 300.60 tokens per second
7.51.082.443 I slot print_timing: id  0 | task 1216 | prompt processing, n_tokens =  18539, progress = 0.99, t =  61.62 s / 300.84 tokens per second
7.51.701.167 I slot print_timing: id  0 | task 1216 | prompt processing, n_tokens =  18664, progress = 1.00, t =  63.53 s / 293.79 tokens per second
7.57.610.565 I slot print_timing: id  0 | task 1216 | prompt eval time =   64249.49 ms / 18668 tokens (    3.44 ms per token,   290.55 tokens per second)
7.57.610.568 I slot print_timing: id  0 | task 1216 |        eval time =    5743.78 ms /    92 tokens (   63.12 ms per token,    15.84 tokens per second)
7.57.610.568 I slot print_timing: id  0 | task 1216 |       total time =   69993.28 ms / 18760 tokens
7.57.610.569 I slot print_timing: id  0 | task 1216 |    graphs reused =       1162
7.57.610.570 I slot print_timing: id  0 | task 1216 | draft acceptance = 0.96774 (   60 accepted /    62 generated), mean len =  2.94
7.57.611.016 I slot      release: id  0 | task 1216 | stop processing: n_tokens = 18759, truncated = 0
