0.15.712.883 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.15.713.732 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.21.037.741 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.11, t =   3.89 s / 526.53 tokens per second
0.26.868.382 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.22, t =   9.59 s / 427.04 tokens per second
0.33.190.091 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.33, t =  15.78 s / 389.29 tokens per second
0.39.961.224 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.44, t =  22.43 s / 365.24 tokens per second
0.47.186.970 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.54, t =  29.54 s / 346.66 tokens per second
0.54.851.142 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.65, t =  37.07 s / 331.52 tokens per second
1.02.922.491 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.76, t =  45.04 s / 318.31 tokens per second
1.11.433.425 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.87, t =  53.42 s / 306.70 tokens per second
1.19.821.068 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18304, progress = 0.97, t =  62.24 s / 294.10 tokens per second
1.21.860.557 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18691, progress = 0.99, t =  64.17 s / 291.29 tokens per second
1.22.544.650 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18816, progress = 1.00, t =  66.22 s / 284.15 tokens per second
1.26.473.571 I slot print_timing: id  0 | task 0 | prompt eval time =   67008.81 ms / 18820 tokens (    3.56 ms per token,   280.86 tokens per second)
1.26.473.574 I slot print_timing: id  0 | task 0 |        eval time =    3750.78 ms /    65 tokens (   58.61 ms per token,    17.06 tokens per second)
1.26.473.574 I slot print_timing: id  0 | task 0 |       total time =   70759.59 ms / 18885 tokens
1.26.473.574 I slot print_timing: id  0 | task 0 |    graphs reused =         24
1.26.473.576 I slot print_timing: id  0 | task 0 | draft acceptance = 0.83333 (   40 accepted /    48 generated), mean len =  2.67
1.26.474.018 I slot      release: id  0 | task 0 | stop processing: n_tokens = 18884, truncated = 0
1.26.542.579 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.404 (> 0.100 thold), f_keep = 0.990
1.26.543.522 I slot launch_slot_: id  0 | task 37 | processing task, is_child = 0
1.38.363.401 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =   2535, progress = 0.45, t =   9.27 s / 273.53 tokens per second
1.48.261.628 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =   4583, progress = 0.50, t =  19.04 s / 240.71 tokens per second
1.58.609.550 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =   6631, progress = 0.54, t =  29.25 s / 226.69 tokens per second
2.09.404.595 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =   8679, progress = 0.58, t =  39.92 s / 217.39 tokens per second
2.20.640.628 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  10727, progress = 0.63, t =  51.08 s / 210.00 tokens per second
2.32.298.045 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  12775, progress = 0.67, t =  62.58 s / 204.14 tokens per second
2.44.426.768 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  14823, progress = 0.72, t =  74.56 s / 198.82 tokens per second
2.56.978.503 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  16871, progress = 0.76, t =  87.00 s / 193.91 tokens per second
3.10.006.272 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  18919, progress = 0.81, t =  99.90 s / 189.38 tokens per second
3.23.432.999 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  20967, progress = 0.85, t = 113.22 s / 185.19 tokens per second
3.37.299.531 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  23015, progress = 0.89, t = 126.96 s / 181.28 tokens per second
3.51.656.961 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  25063, progress = 0.94, t = 141.21 s / 177.49 tokens per second
4.06.421.505 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  27111, progress = 0.98, t = 155.84 s / 173.96 tokens per second
4.08.840.619 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  27398, progress = 0.99, t = 159.88 s / 171.36 tokens per second
4.12.536.340 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  27910, progress = 1.00, t = 162.40 s / 171.86 tokens per second
4.20.903.261 I slot print_timing: id  0 | task 37 | n_gen =    101, tg =  12.47 t/s, tg_3s =  12.60 t/s
4.24.085.891 I slot print_timing: id  0 | task 37 | n_gen =    149, tg =  13.21 t/s, tg_3s =  15.08 t/s
4.25.580.546 I slot print_timing: id  0 | task 37 | prompt eval time =  166342.25 ms / 27914 tokens (    5.96 ms per token,   167.81 tokens per second)
4.25.580.549 I slot print_timing: id  0 | task 37 |        eval time =   12694.53 ms /   171 tokens (   74.67 ms per token,    13.39 tokens per second)
4.25.580.549 I slot print_timing: id  0 | task 37 |       total time =  179036.78 ms / 28085 tokens
4.25.580.549 I slot print_timing: id  0 | task 37 |    graphs reused =         90
4.25.580.551 I slot print_timing: id  0 | task 37 | draft acceptance = 0.75735 (  103 accepted /   136 generated), mean len =  2.51
4.25.581.233 I slot      release: id  0 | task 37 | stop processing: n_tokens = 46389, truncated = 0
4.25.653.866 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.710 (> 0.100 thold), f_keep = 0.996
4.25.654.689 I slot launch_slot_: id  0 | task 123 | processing task, is_child = 0
4.40.930.415 I slot print_timing: id  0 | task 123 | prompt processing, n_tokens =   2048, progress = 0.74, t =  11.08 s / 184.83 tokens per second
4.56.722.869 I slot print_timing: id  0 | task 123 | prompt processing, n_tokens =   4096, progress = 0.77, t =  26.75 s / 153.11 tokens per second
5.12.935.844 I slot print_timing: id  0 | task 123 | prompt processing, n_tokens =   6144, progress = 0.80, t =  42.84 s / 143.43 tokens per second
5.29.572.937 I slot print_timing: id  0 | task 123 | prompt processing, n_tokens =   8192, progress = 0.84, t =  59.36 s / 137.99 tokens per second
5.46.667.426 I slot print_timing: id  0 | task 123 | prompt processing, n_tokens =  10240, progress = 0.87, t =  76.32 s / 134.17 tokens per second
6.04.193.761 I slot print_timing: id  0 | task 123 | prompt processing, n_tokens =  12288, progress = 0.90, t =  93.73 s / 131.10 tokens per second
6.22.160.046 I slot print_timing: id  0 | task 123 | prompt processing, n_tokens =  14336, progress = 0.93, t = 111.63 s / 128.43 tokens per second
6.40.567.382 I slot print_timing: id  0 | task 123 | prompt processing, n_tokens =  16384, progress = 0.96, t = 129.86 s / 126.17 tokens per second
6.58.790.766 I slot print_timing: id  0 | task 123 | prompt processing, n_tokens =  18334, progress = 0.99, t = 148.56 s / 123.41 tokens per second
7.03.515.105 I slot print_timing: id  0 | task 123 | prompt processing, n_tokens =  18846, progress = 1.00, t = 153.33 s / 122.91 tokens per second
7.07.837.763 I slot print_timing: id  0 | task 123 | prompt eval time =  158303.67 ms / 18850 tokens (    8.40 ms per token,   119.07 tokens per second)
7.07.837.766 I slot print_timing: id  0 | task 123 |        eval time =    3879.16 ms /    47 tokens (   84.33 ms per token,    11.86 tokens per second)
7.07.837.766 I slot print_timing: id  0 | task 123 |       total time =  162182.82 ms / 18897 tokens
7.07.837.767 I slot print_timing: id  0 | task 123 |    graphs reused =        108
7.07.837.769 I slot print_timing: id  0 | task 123 | draft acceptance = 0.71053 (   27 accepted /    38 generated), mean len =  2.42
7.07.838.619 I slot      release: id  0 | task 123 | stop processing: n_tokens = 65110, truncated = 0
