ts,wired_gb,free_gb,rss_gb
1788047425,42.79,5.02,40.70
1788047430,3.26,56.37,0
1788047435,3.22,56.36,0
1788047440,3.12,56.34,0
1788047445,3.08,56.38,0
1788047450,3.12,56.36,0
1788047455,3.27,56.15,0.15
1788047460,46.91,8.65,42.49
1788047465,46.96,8.55,42.49
1788047470,46.82,8.38,42.49
1788047475,46.86,8.38,42.49
1788047481,46.86,8.39,42.49
1788047486,46.86,8.36,42.49
1788047491,46.95,8.01,42.56
1788047496,46.92,7.87,42.73
1788047501,46.95,7.75,42.74
1788047506,46.96,7.43,42.75
1788047511,46.96,7.41,42.76
1788047516,46.96,7.42,42.76
1788047521,46.96,7.38,42.77
1788047526,46.92,7.37,42.77
1788047531,47.09,7.35,42.78
1788047536,46.84,7.45,42.78
1788047541,46.85,7.47,42.79
1788047546,46.84,7.39,43.01
1788047551,46.84,7.20,43.45
1788047556,46.80,7.22,43.45
1788047561,46.84,7.20,43.52
1788047566,46.84,7.21,43.52
1788047571,46.83,7.21,43.61
1788047576,46.80,7.23,43.61
1788047581,46.85,7.20,43.69
1788047586,46.82,7.22,43.69
1788047591,47.10,7.08,43.70
1788047596,46.97,7.15,43.70
1788047601,46.97,7.16,43.71
1788047606,46.86,7.22,43.71
1788047611,46.86,7.24,43.72
1788047616,46.86,7.32,43.72
1788047621,46.86,7.32,43.73
1788047626,46.86,7.32,43.73
1788047631,46.86,7.31,43.74
1788047636,46.85,7.32,43.74
1788047641,46.81,7.20,44.01
1788047646,46.85,7.21,44.01
1788047651,46.85,7.20,44.01
1788047656,46.85,7.19,44.55
1788047661,46.85,7.19,44.55
1788047666,46.85,7.20,44.55
1788047671,46.81,7.22,44.55
1788047676,46.81,7.20,44.82
1788047681,46.81,7.20,44.82
1788047686,46.81,7.20,44.82
1788047691,46.84,7.22,44.94
1788047697,46.84,7.22,44.94
1788047702,46.81,7.22,45.07
1788047707,46.84,7.21,45.07
1788047712,46.85,7.29,45.07
1788047717,46.85,7.37,45.08
1788047722,46.85,7.42,45.08
1788047727,46.85,7.38,45.08
1788047732,46.81,7.38,45.08
1788047737,46.85,7.38,45.08
1788047742,46.84,7.37,45.08
1788047747,46.84,7.35,45.08
1788047752,46.84,7.14,45.36
1788047757,46.84,7.20,45.36
1788047762,46.81,7.21,45.36
1788047767,46.85,7.22,45.36
1788047772,46.81,7.22,45.36
1788047777,47.06,7.12,45.37
1788047782,46.84,7.32,45.37
1788047787,46.84,7.38,45.37
1788047792,46.84,7.37,45.37
1788047797,46.88,7.21,48.20
1788047802,46.85,7.27,48.58
1788047807,47.14,7.11,48.58
1788047812,47.00,7.21,48.58
1788047817,46.86,7.34,48.58
1788047822,46.86,7.30,48.58
1788047827,46.86,7.30,48.58
1788047832,46.86,7.34,48.58
1788047837,46.82,7.33,48.58
1788047842,46.82,7.33,48.58
1788047847,46.86,7.31,48.58
1788047852,46.86,7.32,48.58
1788047857,46.85,7.34,48.58
1788047862,46.84,7.35,48.58
1788047867,46.84,7.34,48.58
1788047872,46.84,7.35,48.58
1788047877,46.81,7.35,48.58
1788047882,46.85,7.35,48.58
1788047887,46.84,7.35,48.58
1788047892,46.80,7.36,48.58
1788047897,46.84,7.36,48.58
1788047902,46.84,7.35,48.58
1788047907,46.84,7.36,48.58
1788047912,46.84,7.36,48.58
1788047918,46.84,7.35,48.58
1788047923,46.85,7.35,48.58
1788047928,46.84,7.34,48.58
1788047933,46.80,7.36,48.58
1788047938,46.84,7.35,48.58
1788047943,46.81,7.29,48.58
1788047948,46.84,7.34,48.58
1788047953,46.84,7.36,48.58
1788047958,46.98,7.23,48.58
1788047963,46.84,7.33,48.58
1788047968,46.84,7.34,48.58
1788047973,46.84,7.35,48.58
1788047978,46.84,7.35,48.58
1788047983,46.84,7.35,48.58
1788047988,46.98,7.22,48.58
1788047993,46.84,7.32,48.58
1788047998,46.84,7.34,48.58
1788048003,46.81,7.24,48.58
1788048008,47.09,7.12,48.58
