ts,wired_gb,free_gb,rss_gb
1788037833,39.61,12.23,35.00
1788037838,39.61,11.95,35.00
1788037843,39.61,12.03,35.00
1788037848,39.61,12.02,35.00
1788037853,39.61,11.90,35.00
1788037858,39.61,11.90,35.00
1788037863,39.70,11.92,35.07
1788037868,39.70,11.92,35.23
1788037873,39.69,11.92,35.25
1788037878,39.69,12.03,35.25
1788037883,39.68,11.92,35.26
1788037888,39.68,12.16,35.26
1788037893,39.68,11.91,35.27
1788037898,39.68,11.87,35.27
1788037903,39.68,11.75,35.28
1788037908,39.73,11.58,35.29
1788037913,39.69,11.58,35.29
1788037918,39.73,11.58,35.30
1788037923,39.65,11.58,35.95
1788037928,39.66,11.49,35.97
1788037933,39.65,11.47,35.97
1788037938,39.65,11.41,35.98
1788037943,39.65,11.31,35.98
1788037948,39.65,11.14,35.99
1788037953,39.63,11.15,35.99
1788037958,39.70,11.15,36.00
1788037963,39.64,11.15,36.00
1788037968,39.64,11.15,36.00
1788037974,39.64,11.50,36.01
1788037979,39.64,11.48,36.01
1788037984,39.64,11.41,36.02
1788037989,39.63,11.14,36.28
1788037994,39.63,11.15,36.28
1788037999,39.58,11.18,36.28
1788038004,39.54,11.15,36.28
1788038009,39.54,11.15,36.28
1788038014,39.58,11.61,36.28
1788038019,39.61,11.47,36.28
1788038024,39.55,11.34,36.28
1788038029,39.58,11.14,36.28
1788038034,39.58,11.14,36.28
1788038039,39.58,11.14,36.28
1788038044,39.68,11.14,36.81
1788038049,39.64,11.15,36.81
1788038054,39.65,10.55,36.81
1788038059,39.63,10.49,36.81
1788038064,39.55,10.41,36.81
1788038069,39.58,10.41,36.81
1788038074,39.55,10.41,36.81
1788038079,39.67,10.41,36.81
1788038084,39.63,10.41,37.08
1788038089,39.63,10.42,37.20
1788038094,39.63,10.13,37.20
1788038099,39.55,10.16,37.20
1788038104,39.65,9.87,37.32
1788038109,39.64,9.83,37.32
1788038114,39.69,9.82,37.33
1788038119,39.64,9.77,37.33
1788038124,39.65,9.76,37.33
1788038129,39.63,9.82,37.33
1788038134,39.69,12.62,37.33
1788038139,39.63,12.63,37.33
1788038144,39.63,12.58,37.33
1788038149,39.65,12.26,37.60
1788038155,39.65,12.24,37.60
1788038160,39.73,12.25,37.60
1788038165,39.68,12.24,37.60
1788038170,39.65,12.24,37.61
1788038175,39.65,12.20,37.61
1788038180,39.65,12.20,37.61
1788038185,39.65,12.20,37.61
1788038190,39.63,12.22,37.61
1788038195,39.65,12.22,37.61
1788038200,39.64,12.22,37.61
1788038205,39.64,12.22,37.61
1788038210,39.64,12.22,37.61
1788038215,39.63,12.23,37.61
1788038220,39.64,12.23,37.61
1788038225,39.64,12.23,37.61
1788038230,39.62,12.24,37.61
1788038235,39.62,12.23,37.61
1788038240,39.64,12.23,37.61
1788038245,39.54,12.43,37.61
1788038250,39.54,12.45,37.61
1788038255,39.53,12.47,37.61
1788038260,39.53,12.48,37.61
1788038265,39.57,12.48,37.61
1788038270,39.53,12.48,37.61
1788038275,39.53,12.48,37.61
1788038280,39.59,12.46,37.61
1788038285,39.54,12.46,37.61
1788038290,39.54,12.37,37.61
1788038295,39.37,12.37,37.61
1788038300,39.54,12.21,37.61
1788038305,39.58,12.20,37.61
1788038310,39.58,12.20,37.61
1788038315,39.67,10.30,40.73
1788038320,39.66,10.42,40.73
1788038325,39.63,10.41,40.73
1788038330,39.62,10.42,40.73
1788038336,39.62,10.40,40.73
1788038341,39.63,10.48,40.73
1788038346,39.62,10.47,40.73
1788038351,39.62,10.47,40.73
1788038356,39.66,10.48,40.73
1788038361,39.66,10.46,40.73
1788038366,39.65,10.46,40.73
1788038371,39.66,10.46,40.73
1788038376,39.61,10.45,40.73
1788038381,39.67,10.44,40.73
1788038386,39.62,10.46,40.73
1788038391,39.60,10.46,40.73
1788038396,39.62,10.46,40.73
1788038401,39.63,10.46,40.73
1788038406,39.62,10.46,40.73
1788038411,39.62,10.46,40.73
1788038416,39.61,10.46,40.73
1788038421,39.61,10.47,40.73
1788038426,39.61,10.46,40.73
1788038431,39.61,10.46,40.73
1788038436,39.61,10.46,40.73
1788038441,39.61,10.47,40.73
1788038446,39.61,10.47,40.73
1788038451,39.61,10.47,40.73
1788038456,39.61,10.47,40.73
1788038461,39.63,10.46,40.74
1788038466,39.61,10.46,40.74
1788038471,39.63,10.45,40.74
1788038476,39.61,10.44,40.74
1788038481,39.63,10.44,40.75
1788038486,39.61,10.44,40.75
1788038491,39.61,10.44,40.75
1788038496,39.61,10.44,40.75
1788038501,39.61,10.44,40.76
1788038506,39.61,10.44,40.76
1788038511,39.61,10.43,40.77
1788038516,39.61,10.43,40.77
1788038521,39.63,10.43,40.77
1788038526,39.61,10.47,40.95
1788038531,39.60,10.64,41.13
1788038536,39.60,10.67,41.13
1788038541,39.60,10.67,41.13
1788038546,39.60,10.68,41.13
1788038551,39.64,10.67,41.13
1788038556,39.60,10.67,41.13
1788038561,39.61,10.71,41.13
1788038566,39.60,10.71,41.14
1788038571,39.61,10.71,41.14
1788038576,39.60,10.71,41.14
1788038582,39.62,10.69,41.14
1788038587,39.61,10.70,41.15
1788038592,39.60,10.70,41.15
1788038597,39.60,10.69,41.15
1788038602,39.60,10.69,41.16
1788038607,39.60,10.70,41.16
1788038612,39.60,10.71,41.16
1788038617,39.60,10.72,41.17
1788038622,39.60,10.72,41.17
1788038627,39.60,10.73,41.17
1788038632,39.60,10.74,41.17
1788038637,39.60,10.75,41.18
1788038642,39.62,10.73,41.18
1788038647,39.60,10.72,41.18
1788038652,39.60,10.73,41.18
1788038657,39.60,10.75,41.18
1788038662,39.60,10.74,41.19
1788038667,39.60,10.74,41.19
1788038672,39.64,10.72,41.19
1788038677,39.60,10.73,41.19
1788038682,39.60,10.74,41.20
1788038687,39.60,10.75,41.20
1788038692,39.60,10.74,41.20
1788038697,39.64,10.77,41.45
1788038702,39.61,10.76,41.70
1788038707,39.63,10.91,41.70
1788038712,39.55,10.94,41.70
1788038717,39.63,10.79,42.20
1788038722,39.64,10.77,47.58
1788038727,39.64,10.77,47.58
1788038732,39.64,10.78,47.58
1788038737,39.64,10.77,47.58
1788038742,39.64,10.77,47.58
1788038747,39.64,10.77,47.58
1788038752,39.61,10.77,47.58
1788038757,39.60,10.77,47.58
1788038762,39.60,10.78,47.58
1788038767,39.61,10.77,47.58
1788038772,39.60,10.78,47.58
1788038777,39.61,10.78,47.58
