21.25.528.658 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.999 (> 0.100 thold), f_keep = 1.000
21.25.529.619 I slot launch_slot_: id  0 | task 260 | processing task, is_child = 0
21.33.083.116 I slot print_timing: id  0 | task 260 | prompt eval time =    2069.18 ms /    63 tokens (   32.84 ms per token,    30.45 tokens per second)
21.33.083.119 I slot print_timing: id  0 | task 260 |        eval time =    5484.07 ms /    60 tokens (   92.95 ms per token,    10.76 tokens per second)
21.33.083.119 I slot print_timing: id  0 | task 260 |       total time =    7553.25 ms /   123 tokens
21.33.083.119 I slot print_timing: id  0 | task 260 |    graphs reused =        177
21.33.083.121 I slot print_timing: id  0 | task 260 | draft acceptance = 0.86364 (   38 accepted /    44 generated), mean len =  2.73
21.33.084.572 I slot      release: id  0 | task 260 | stop processing: n_tokens = 110220, truncated = 0
21.33.182.212 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.137 (> 0.100 thold), f_keep = 0.171
21.37.232.646 I slot launch_slot_: id  0 | task 286 | processing task, is_child = 0
21.47.162.305 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =   2048, progress = 0.15, t =   7.30 s / 280.36 tokens per second
21.56.580.214 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =   4096, progress = 0.16, t =  16.70 s / 245.20 tokens per second
22.06.636.334 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =   6144, progress = 0.18, t =  26.68 s / 230.30 tokens per second
22.17.069.919 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =   8192, progress = 0.19, t =  37.01 s / 221.36 tokens per second
22.27.919.111 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  10240, progress = 0.21, t =  47.74 s / 214.50 tokens per second
22.39.238.893 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  12288, progress = 0.22, t =  58.95 s / 208.44 tokens per second
22.50.928.930 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  14336, progress = 0.24, t =  70.54 s / 203.25 tokens per second
23.03.009.525 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  16384, progress = 0.25, t =  82.47 s / 198.66 tokens per second
23.15.527.419 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  18432, progress = 0.27, t =  94.88 s / 194.27 tokens per second
23.28.490.390 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  20480, progress = 0.28, t = 107.72 s / 190.13 tokens per second
23.41.940.762 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  22528, progress = 0.30, t = 121.03 s / 186.13 tokens per second
23.55.725.472 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  24576, progress = 0.31, t = 134.72 s / 182.42 tokens per second
24.09.978.724 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  26624, progress = 0.33, t = 148.85 s / 178.87 tokens per second
24.24.630.350 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  28672, progress = 0.34, t = 163.38 s / 175.49 tokens per second
24.39.732.947 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  30720, progress = 0.36, t = 178.36 s / 172.24 tokens per second
24.55.274.466 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  32768, progress = 0.37, t = 193.78 s / 169.10 tokens per second
25.11.238.981 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  34816, progress = 0.39, t = 209.63 s / 166.08 tokens per second
25.27.664.542 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  36864, progress = 0.40, t = 225.91 s / 163.18 tokens per second
25.44.556.672 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  38912, progress = 0.42, t = 242.69 s / 160.34 tokens per second
26.01.831.652 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  40960, progress = 0.43, t = 259.84 s / 157.64 tokens per second
26.19.586.226 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  43008, progress = 0.44, t = 277.48 s / 155.00 tokens per second
26.37.747.979 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  45056, progress = 0.46, t = 295.52 s / 152.47 tokens per second
26.55.226.361 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  46970, progress = 0.47, t = 313.99 s / 149.59 tokens per second
27.14.216.320 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  49018, progress = 0.49, t = 331.75 s / 147.76 tokens per second
27.33.632.002 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  51066, progress = 0.50, t = 351.05 s / 145.47 tokens per second
27.53.530.179 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  53114, progress = 0.52, t = 370.81 s / 143.24 tokens per second
28.13.911.483 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  55162, progress = 0.53, t = 391.06 s / 141.06 tokens per second
28.34.760.411 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  57210, progress = 0.55, t = 411.77 s / 138.94 tokens per second
28.56.074.883 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  59258, progress = 0.56, t = 432.99 s / 136.86 tokens per second
29.17.810.180 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  61306, progress = 0.58, t = 454.60 s / 134.86 tokens per second
29.40.008.202 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  63354, progress = 0.59, t = 476.65 s / 132.91 tokens per second
30.02.696.034 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  65402, progress = 0.61, t = 499.16 s / 131.02 tokens per second
30.26.176.111 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  67450, progress = 0.62, t = 522.54 s / 129.08 tokens per second
30.49.708.754 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  69498, progress = 0.64, t = 546.01 s / 127.28 tokens per second
31.13.643.759 I slot print_timing: id  0 | task 286 | prompt processing, n_tokens =  71546, progress = 0.65, t = 569.82 s / 125.56 tokens per second
