48.45.533.572 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
48.45.534.533 I slot launch_slot_: id  0 | task 415 | processing task, is_child = 0
48.54.966.839 I slot print_timing: id  0 | task 415 | prompt eval time =    2664.25 ms /    60 tokens (   44.40 ms per token,    22.52 tokens per second)
48.54.966.842 I slot print_timing: id  0 | task 415 |        eval time =    6767.78 ms /    59 tokens (  116.69 ms per token,     8.57 tokens per second)
48.54.966.842 I slot print_timing: id  0 | task 415 |       total time =    9432.03 ms /   119 tokens
48.54.966.843 I slot print_timing: id  0 | task 415 |    graphs reused =        250
48.54.966.845 I slot print_timing: id  0 | task 415 | draft acceptance = 0.86364 (   38 accepted /    44 generated), mean len =  2.73
48.54.968.575 I slot      release: id  0 | task 415 | stop processing: n_tokens = 156681, truncated = 0
48.55.085.780 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.104 (> 0.100 thold), f_keep = 0.121
48.55.095.193 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 6648.737 MiB)
48.55.114.592 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 10933.152 MiB)
49.07.089.360 I slot launch_slot_: id  0 | task 441 | processing task, is_child = 0
49.18.543.671 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =   2048, progress = 0.11, t =   8.81 s / 232.51 tokens per second
49.27.324.216 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =   4096, progress = 0.12, t =  17.76 s / 230.62 tokens per second
49.36.924.804 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =   6144, progress = 0.13, t =  27.21 s / 225.84 tokens per second
49.47.129.520 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =   8192, progress = 0.14, t =  37.24 s / 219.96 tokens per second
49.57.913.598 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  10240, progress = 0.16, t =  47.87 s / 213.92 tokens per second
50.09.225.133 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  12288, progress = 0.17, t =  59.04 s / 208.12 tokens per second
50.21.037.905 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  14336, progress = 0.18, t =  70.73 s / 202.70 tokens per second
50.33.317.884 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  16384, progress = 0.19, t =  82.86 s / 197.72 tokens per second
50.46.065.100 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  18432, progress = 0.20, t =  95.47 s / 193.07 tokens per second
50.59.282.607 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  20480, progress = 0.21, t = 108.57 s / 188.64 tokens per second
51.12.913.778 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  22528, progress = 0.22, t = 122.09 s / 184.53 tokens per second
51.27.010.908 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  24576, progress = 0.23, t = 136.10 s / 180.57 tokens per second
51.41.574.357 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  26624, progress = 0.25, t = 150.49 s / 176.92 tokens per second
51.56.571.072 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  28672, progress = 0.26, t = 165.38 s / 173.37 tokens per second
52.12.022.373 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  30720, progress = 0.27, t = 180.70 s / 170.00 tokens per second
52.27.954.156 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  32768, progress = 0.28, t = 196.50 s / 166.76 tokens per second
52.44.397.204 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  34816, progress = 0.29, t = 212.79 s / 163.62 tokens per second
53.01.244.215 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  36864, progress = 0.30, t = 229.50 s / 160.63 tokens per second
53.18.585.564 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  38912, progress = 0.31, t = 246.74 s / 157.70 tokens per second
53.36.381.248 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  40960, progress = 0.32, t = 264.41 s / 154.91 tokens per second
53.54.666.359 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  43008, progress = 0.34, t = 282.54 s / 152.22 tokens per second
54.13.441.427 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  45056, progress = 0.35, t = 301.19 s / 149.59 tokens per second
54.32.467.907 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  47070, progress = 0.36, t = 320.29 s / 146.96 tokens per second
54.52.171.426 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  49118, progress = 0.37, t = 339.66 s / 144.61 tokens per second
55.12.412.532 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  51166, progress = 0.38, t = 359.73 s / 142.24 tokens per second
55.33.058.167 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  53214, progress = 0.39, t = 380.29 s / 139.93 tokens per second
55.54.278.828 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  55262, progress = 0.40, t = 401.35 s / 137.69 tokens per second
56.15.930.140 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  57310, progress = 0.41, t = 422.87 s / 135.53 tokens per second
56.38.097.744 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  59358, progress = 0.42, t = 444.91 s / 133.42 tokens per second
57.00.612.718 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  61406, progress = 0.44, t = 467.33 s / 131.40 tokens per second
57.23.632.645 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  63454, progress = 0.45, t = 490.19 s / 129.45 tokens per second
57.47.115.127 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  65502, progress = 0.46, t = 513.54 s / 127.55 tokens per second
58.11.104.105 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  67550, progress = 0.47, t = 537.41 s / 125.69 tokens per second
58.35.558.020 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  69598, progress = 0.48, t = 561.70 s / 123.91 tokens per second
59.00.496.316 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  71646, progress = 0.49, t = 586.53 s / 122.15 tokens per second
59.25.911.170 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  73694, progress = 0.50, t = 611.82 s / 120.45 tokens per second
59.51.816.875 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  75742, progress = 0.51, t = 637.58 s / 118.80 tokens per second
60.18.122.748 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  77790, progress = 0.53, t = 663.76 s / 117.20 tokens per second
60.44.898.805 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  79838, progress = 0.54, t = 690.41 s / 115.64 tokens per second
61.12.193.952 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  81886, progress = 0.55, t = 717.52 s / 114.12 tokens per second
61.39.969.614 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  83934, progress = 0.56, t = 745.19 s / 112.63 tokens per second
62.08.279.879 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  85982, progress = 0.57, t = 773.33 s / 111.18 tokens per second
62.36.982.556 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  88030, progress = 0.58, t = 801.96 s / 109.77 tokens per second
63.06.203.552 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  90078, progress = 0.59, t = 830.99 s / 108.40 tokens per second
63.34.525.965 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  92007, progress = 0.60, t = 860.50 s / 106.92 tokens per second
64.04.578.659 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  94055, progress = 0.61, t = 889.13 s / 105.78 tokens per second
64.35.162.967 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  96103, progress = 0.63, t = 919.60 s / 104.51 tokens per second
65.06.280.627 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens =  98151, progress = 0.64, t = 950.56 s / 103.26 tokens per second
65.37.872.299 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 100199, progress = 0.65, t = 982.05 s / 102.03 tokens per second
66.09.980.056 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 102247, progress = 0.66, t = 1013.99 s / 100.84 tokens per second
66.42.453.286 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 104295, progress = 0.67, t = 1046.38 s / 99.67 tokens per second
67.15.431.468 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 106343, progress = 0.68, t = 1079.22 s / 98.54 tokens per second
67.49.005.207 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 108391, progress = 0.69, t = 1112.56 s / 97.42 tokens per second
68.23.018.339 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 110439, progress = 0.70, t = 1146.44 s / 96.33 tokens per second
68.57.320.640 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 112487, progress = 0.72, t = 1180.76 s / 95.27 tokens per second
69.32.143.447 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 114535, progress = 0.73, t = 1215.38 s / 94.24 tokens per second
70.07.526.398 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 116583, progress = 0.74, t = 1250.64 s / 93.22 tokens per second
70.43.329.774 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 118631, progress = 0.75, t = 1286.36 s / 92.22 tokens per second
71.19.633.961 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 120679, progress = 0.76, t = 1322.44 s / 91.25 tokens per second
71.56.498.657 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 122727, progress = 0.77, t = 1359.19 s / 90.29 tokens per second
72.33.835.882 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 124775, progress = 0.78, t = 1396.40 s / 89.35 tokens per second
73.11.512.070 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 126823, progress = 0.79, t = 1433.95 s / 88.44 tokens per second
73.49.785.032 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 128871, progress = 0.80, t = 1472.10 s / 87.54 tokens per second
74.28.483.889 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 130919, progress = 0.82, t = 1510.73 s / 86.66 tokens per second
75.07.609.061 I slot print_timing: id  0 | task 441 | prompt processing, n_tokens = 132967, progress = 0.83, t = 1549.69 s / 85.80 tokens per second
