14.29.267.751 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.999 (> 0.100 thold), f_keep = 0.999
14.29.268.638 I slot launch_slot_: id  0 | task 1569 | processing task, is_child = 0
14.37.364.987 I slot print_timing: id  0 | task 1569 | prompt eval time =    1431.06 ms /    61 tokens (   23.46 ms per token,    42.63 tokens per second)
14.37.364.989 I slot print_timing: id  0 | task 1569 |        eval time =    6665.03 ms /    78 tokens (   86.56 ms per token,    11.55 tokens per second)
14.37.364.990 I slot print_timing: id  0 | task 1569 |       total time =    8096.09 ms /   139 tokens
14.37.364.990 I slot print_timing: id  0 | task 1569 |    graphs reused =       1446
14.37.364.992 I slot print_timing: id  0 | task 1569 | draft acceptance = 0.84483 (   49 accepted /    58 generated), mean len =  2.69
14.37.365.857 I slot      release: id  0 | task 1569 | stop processing: n_tokens = 67328, truncated = 0
14.37.439.575 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.199 (> 0.100 thold), f_keep = 0.277
14.37.442.949 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 3611.132 MiB)
14.39.706.149 I slot launch_slot_: id  0 | task 1602 | processing task, is_child = 0
14.48.282.665 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =   2048, progress = 0.22, t =   6.21 s / 330.01 tokens per second
14.57.244.662 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =   4096, progress = 0.24, t =  15.06 s / 271.96 tokens per second
15.06.784.216 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =   6144, progress = 0.26, t =  24.44 s / 251.37 tokens per second
15.16.787.130 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =   8192, progress = 0.28, t =  34.35 s / 238.50 tokens per second
15.27.234.197 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =  10240, progress = 0.30, t =  44.65 s / 229.32 tokens per second
15.38.157.459 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =  12288, progress = 0.32, t =  55.39 s / 221.86 tokens per second
15.49.556.077 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =  14336, progress = 0.35, t =  66.69 s / 214.96 tokens per second
16.01.276.363 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =  16384, progress = 0.37, t =  78.37 s / 209.07 tokens per second
16.13.459.869 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =  18432, progress = 0.39, t =  90.44 s / 203.81 tokens per second
16.25.999.650 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =  20480, progress = 0.41, t = 102.94 s / 198.96 tokens per second
16.39.046.250 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =  22528, progress = 0.43, t = 115.78 s / 194.58 tokens per second
16.52.494.018 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =  24576, progress = 0.46, t = 129.07 s / 190.41 tokens per second
17.06.236.607 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =  26624, progress = 0.48, t = 142.82 s / 186.42 tokens per second
17.20.606.529 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =  28672, progress = 0.50, t = 156.92 s / 182.71 tokens per second
17.35.304.109 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =  30720, progress = 0.52, t = 171.59 s / 179.03 tokens per second
17.50.448.902 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =  32768, progress = 0.54, t = 186.56 s / 175.64 tokens per second
18.05.975.057 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =  34816, progress = 0.56, t = 202.05 s / 172.31 tokens per second
18.22.044.040 I slot print_timing: id  0 | task 1602 | prompt processing, n_tokens =  36864, progress = 0.59, t = 217.85 s / 169.21 tokens per second
