94.42.213.448 I slot print_timing: id  0 | task 777 | prompt processing, n_tokens =  17621, progress = 1.00, t = 400.25 s / 44.02 tokens per second
94.54.275.093 I slot print_timing: id  0 | task 777 | prompt processing, n_tokens =  18133, progress = 1.00, t = 407.04 s / 44.55 tokens per second
95.05.900.224 I slot print_timing: id  0 | task 777 | prompt eval time =  419860.73 ms / 18137 tokens (   23.15 ms per token,    43.20 tokens per second)
95.05.900.227 I slot print_timing: id  0 | task 777 |        eval time =   10501.69 ms /    69 tokens (  154.44 ms per token,     6.48 tokens per second)
95.05.900.227 I slot print_timing: id  0 | task 777 |       total time =  430362.42 ms / 18206 tokens
95.05.900.228 I slot print_timing: id  0 | task 777 |    graphs reused =        522
95.05.900.229 I slot print_timing: id  0 | task 777 | draft acceptance = 0.75000 (   42 accepted /    56 generated), mean len =  2.50
95.05.902.221 I slot      release: id  0 | task 777 | stop processing: n_tokens = 201263, truncated = 0
95.05.902.325 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
95.05.903.352 I slot launch_slot_: id  0 | task 787 | processing task, is_child = 0
95.17.862.700 I slot print_timing: id  0 | task 787 | prompt eval time =    2928.08 ms /    73 tokens (   40.11 ms per token,    24.93 tokens per second)
95.17.862.702 I slot print_timing: id  0 | task 787 |        eval time =    9030.99 ms /    67 tokens (  136.83 ms per token,     7.31 tokens per second)
95.17.862.703 I slot print_timing: id  0 | task 787 |       total time =   11959.07 ms /   140 tokens
95.17.862.703 I slot print_timing: id  0 | task 787 |    graphs reused =        545
95.17.862.706 I slot print_timing: id  0 | task 787 | draft acceptance = 0.91667 (   44 accepted /    48 generated), mean len =  2.83
95.17.867.111 I slot      release: id  0 | task 787 | stop processing: n_tokens = 201330, truncated = 0
95.18.025.053 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 90366959441
95.18.036.283 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 15526.808 MiB)
95.33.733.765 I slot launch_slot_: id  0 | task 845 | processing task, is_child = 0
95.45.345.248 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =   2048, progress = 0.09, t =   9.01 s / 227.21 tokens per second
95.53.981.660 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =   4096, progress = 0.10, t =  17.86 s / 229.36 tokens per second
96.03.342.797 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =   6144, progress = 0.11, t =  27.03 s / 227.27 tokens per second
96.13.367.774 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =   8192, progress = 0.12, t =  36.89 s / 222.09 tokens per second
96.23.974.832 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  10240, progress = 0.13, t =  47.33 s / 216.33 tokens per second
96.35.117.432 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  12288, progress = 0.13, t =  58.34 s / 210.64 tokens per second
96.46.781.380 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  14336, progress = 0.14, t =  69.86 s / 205.22 tokens per second
96.58.954.837 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  16384, progress = 0.15, t =  81.89 s / 200.07 tokens per second
97.11.554.555 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  18432, progress = 0.16, t =  94.37 s / 195.32 tokens per second
97.24.607.971 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  20480, progress = 0.17, t = 107.29 s / 190.88 tokens per second
97.38.089.269 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  22528, progress = 0.18, t = 120.66 s / 186.71 tokens per second
97.52.007.939 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  24576, progress = 0.19, t = 134.46 s / 182.78 tokens per second
